Tundra,MixedForest,MixedForest,BroadleafForest,Rainforest,AridDesert,Steppe,GrassSavanna,Steppe,GrassSavanna,
MixedForest,BroadleafForest,Rainforest,BroadleafForest,AridDesert,Steppe,GrassSavanna,TreeSavanna,Steppe,Shrubland,
BroadleafForest,Rainforest,AridDesert,GrassSavanna,ShrubDesert,GrassSavanna,ShrubDesert,Shrubland,Wetland,AridDesert,
AridDesert,Shrubland,GrassSavanna,Rainforest,TreeSavanna,Shrubland,Wetland,Rainforest,Shrubland,GrassSavanna,
ShrubDesert,ShrubDesert,Steppe,TreeSavanna,Shrubland,AridDesert,TreeSavanna,AridDesert,Shrubland,TreeSavanna,
Wetland,Wetland,Wetland,Rainforest,Wetland,GrassSavanna,Steppe,Steppe,GrassSavanna,Rainforest,
Wetland,AridDesert,GrassSavanna,Shrubland,Wetland,Rainforest,TreeSavanna,TreeSavanna,TreeSavanna,AridDesert,
Wetland,TreeSavanna,TreeSavanna,Wetland,Rainforest,Shrubland,TreeSavanna,Shrubland,Shrubland,Steppe,
MixedForest,Rainforest,Shrubland,Wetland,Shrubland,TreeSavanna,Shrubland,Wetland,Wetland,TreeSavanna,
Taiga,BroadleafForest,Wetland,TreeSavanna,Wetland,AridDesert,ShrubDesert,Wetland,Wetland,TreeSavanna,
